    code;PeriodeDebut;  PeriodeFin;   vigilance;      alerte; alerte_renf;       crise;        operationnel
U1084010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
U2002010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
U2012010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
U2512010;       01-01;       12-31;       25000;       17000;       12000;        7300;            FJPPMA
U2542010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
U2624010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
U2634010;       01-01;       12-31;       15000;       11000;        8100;        5270;            FJPPMA
U2635010;       01-01;       12-31;         260;         160;         110;          50;            FJPPMA
U2655030;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
U2722010;       01-01;       12-31;       47000;       31000;       22000;       14000;            FJPPMA
U3404030;       01-01;       12-31;         650;         330;         210;          80;            FJPPMA
U3415020;       01-01;       12-31;          75;          40;          25;          15;            FJPPMA
U3424010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
U3446410;       01-01;       12-31;         260;         170;         130;         110;            FJPPMA
U3455010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
V1015010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
V2012010;       01-01;       12-31;         2500;         1800;         1300;         900;            FJPPMA
V2024010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
V2114010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
V2206010;       01-01;       12-31;         340;         210;         110;          80;            FJPPMA
V2030410;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
V2035010;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
V2414030;       01-01;       12-31;         350;         220;         150;         110;            FJPPMA
V2420560;       01-01;       12-31;         840;         570;         430;         340;            FJPPMA
V2444020;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
V2814040;       01-01;     12-31;         ;         ;           ;         ;                 FJPPMA
